Data,Amount,Category,Payment Method,Description
2023-12-15,119.80,Transport,Dedit card,Monthly bus pass
2023-12-02,55.88,Groceries,Credit card,None respond off here two.
2024-01-17,24.61,Entertainment,Cash,Design available doctor deal.
2023-12-31,58.45,Groceries,Credit card,Fruits and vegetables
2024-01-26,47.05,Groceries,Credit card,Trouble billion would than well early.
2023-12-08,125.06,Transport,Dedit card,Notice apply treat least hard together standard.
2024-01-23,43.04,Groceries,Credit card,Rate same born.
2023-12-13,194.42,Utilities,Bank transfer,Not water sense card he.
2023-12-10,119.07,Transport,Dedit card,Before often teacher deep blue case.
2024-01-15,65.55,Health care,Credit card,Pharmacy visit
2024-01-09,194.27,Utilities,Bank transfer,Electricity bill
2023-12-29,45.33,Groceries,Credit card,Either smile whose.
2023-12-29,128.68,Transport,Dedit card,Situation body born condition.
2024-01-22,48.42,Groceries,Credit card,Green somebody market.
2023-12-15,77.36,Health care,Credit card,Far condition thus since so.
2023-12-31,78.71,Health care,Credit card,Pharmacy visit
2023-12-05,120.85,Transport,Dedit card,Tell air myself.
2024-01-04,79.74,Health care,Credit card,Account pull it.
2023-12-27,72.92,Health care,Credit card,Several free operation beyond.
2024-01-14,45.91,Groceries,Credit card,Fruits and vegetables
2023-12-18,118.75,Transport,Dedit card,Ahead others unit situation.
2024-01-13,115.71,Transport,Dedit card,Whose final would race indicate choose.
2024-01-03,196.35,Utilities,Bank transfer,Number girl his television.
2024-01-01,127.89,Transport,Dedit card,Monthly bus pass
2023-12-04,126.80,Transport,Dedit card,Monthly bus pass
2023-12-06,73.69,Health care,Credit card,Black anyone itself.
2023-12-16,206.58,Utilities,Bank transfer,President personal fall one development save.
2023-12-18,34.60,Entertainment,Cash,Agree break or sport upon our.
2023-12-27,127.01,Transport,Dedit card,Back itself cover even treatment per.
2023-12-10,44.62,Groceries,Credit card,Fruits and vegetables
2024-02-03,192.77,Utilities,Bank transfer,Wide position student happen color care.
2023-12-20,48.14,Groceries,Credit card,Fruits and vegetables
2024-01-13,42.07,Groceries,Credit card,Cultural fine teach bring best both.
2024-01-07,83.80,Health care,Credit card,Pharmacy visit
2023-12-16,191.47,Utilities,Bank transfer,Here nice before likely.
2024-01-29,112.95,Transport,Dedit card,Monthly bus pass
2024-01-28,117.14,Transport,Dedit card,Monthly bus pass
2023-12-08,128.35,Transport,Dedit card,Monthly bus pass
2023-12-22,24.91,Entertainment,Cash,Movie night
2024-01-16,24.53,Entertainment,Cash,Movie night
2023-12-08,198.37,Utilities,Bank transfer,Electricity bill
2024-01-13,209.81,Utilities,Bank transfer,Electricity bill
2024-01-23,129.55,Transport,Dedit card,Monthly bus pass
2023-12-20,194.42,Utilities,Bank transfer,Electricity bill
2024-01-09,125.70,Transport,Dedit card,Monthly bus pass
2023-12-29,206.45,Utilities,Bank transfer,Keep car better gun among.
2024-02-02,23.02,Entertainment,Cash,Movie night
2024-01-22,25.32,Entertainment,Cash,Movie night
2024-01-09,67.92,Health care,Credit card,Plant medical off then.
2023-12-20,40.79,Groceries,Credit card,Democratic for from pick.
2024-01-05,127.70,Transport,Dedit card,Monthly bus pass
2023-12-31,23.70,Entertainment,Cash,Increase see test important.
2024-01-15,126.75,Transport,Dedit card,Monthly bus pass
2024-01-18,51.90,Groceries,Credit card,Give job city group you response.
2023-12-10,24.09,Entertainment,Cash,Miss reveal audience seat energy may.
2024-01-21,208.29,Utilities,Bank transfer,Very father bar approach instead.
2024-01-26,193.83,Utilities,Bank transfer,Win above next sing fight like.
2024-01-14,55.84,Groceries,Credit card,Fruits and vegetables
2024-01-08,77.87,Health care,Credit card,Pharmacy visit
2024-01-08,120.45,Transport,Dedit card,Hear room education later help him.
2024-01-11,34.52,Entertainment,Cash,Bad arm moment through seven dream.
2024-01-04,115.38,Transport,Dedit card,Finish once fact white.
2024-01-03,191.29,Utilities,Bank transfer,Electricity bill
2023-12-25,196.25,Utilities,Bank transfer,Wear possible bill ten.
2024-01-16,56.62,Groceries,Credit card,Fruits and vegetables
2023-12-22,26.81,Entertainment,Cash,Shoulder mind point single.
2023-12-23,74.33,Health care,Credit card,Cost toward black check.
2024-01-10,30.88,Entertainment,Cash,Movie night
2024-01-20,38.06,Entertainment,Cash,Movie night
2023-12-22,193.37,Utilities,Bank transfer,Electricity bill
2023-12-22,30.49,Entertainment,Cash,Movie night
2024-01-07,52.42,Groceries,Credit card,Sign ok money.
2024-01-01,35.47,Entertainment,Cash,So quality girl decision.
2023-12-07,22.30,Entertainment,Cash,Walk money day role argue.
2024-01-25,191.53,Utilities,Bank transfer,Against stop student.
2024-01-24,114.00,Transport,Dedit card,Monthly bus pass
2024-01-09,208.73,Utilities,Bank transfer,Detail however born spend oil.
2023-12-18,199.52,Utilities,Bank transfer,Different owner despite him speech.
2024-01-13,203.84,Utilities,Bank transfer,Develop rate analysis thing idea.
2024-01-25,75.68,Health care,Credit card,Pharmacy visit
2023-12-16,81.69,Health care,Credit card,Pharmacy visit
2023-12-07,110.90,Transport,Dedit card,Available room serious.
2023-12-18,55.53,Groceries,Credit card,Fruits and vegetables
2023-12-22,82.46,Health care,Credit card,I eat million own line various.
2024-01-27,20.62,Entertainment,Cash,Movie night
2023-12-15,128.98,Transport,Dedit card,Capital draw technology account unit.
2023-12-24,114.28,Transport,Dedit card,Show day let interest language.
2023-12-10,206.21,Utilities,Bank transfer,Mr left represent may give father.
2024-01-24,111.99,Transport,Dedit card,Eye son conference.
2023-12-05,50.96,Groceries,Credit card,Fruits and vegetables
2024-01-01,50.23,Groceries,Credit card,Possible recent range position value.
2023-12-06,81.19,Health care,Credit card,Tax question business.
2024-01-02,36.42,Entertainment,Cash,Movie night
2024-01-31,197.15,Utilities,Bank transfer,Out different indicate feel phone watch.
2024-01-29,38.30,Entertainment,Cash,Movie night
2023-12-16,118.86,Transport,Dedit card,See skill major protect.
2023-12-10,70.51,Health care,Credit card,Pharmacy visit
2024-01-22,35.69,Entertainment,Cash,Movie night
2023-12-15,21.65,Entertainment,Cash,Discussion often less themselves partner.
2023-12-18,122.69,Transport,Dedit card,List guy support accept draw another.
2023-12-11,80.32,Health care,Credit card,Pharmacy visit
2024-01-31,110.86,Transport,Dedit card,Chair home listen offer.
2024-01-22,192.94,Utilities,Bank transfer,Electricity bill
2023-12-15,79.36,Health care,Credit card,Gas other anything whether.
2023-12-25,32.62,Entertainment,Cash,Certain born yourself great hold.
2024-01-22,49.75,Groceries,Credit card,Little me they letter third great.
2024-01-28,205.49,Utilities,Bank transfer,Late imagine someone production political.
2024-01-06,124.08,Transport,Dedit card,Monthly bus pass
2024-01-15,197.33,Utilities,Bank transfer,Meeting nearly these.
2023-12-12,25.09,Entertainment,Cash,Loss network write simply purpose.
2023-12-09,71.40,Health care,Credit card,Process popular fear.
2023-12-21,199.53,Utilities,Bank transfer,Bring area usually.
2024-01-12,200.41,Utilities,Bank transfer,Electricity bill
2023-12-23,22.92,Entertainment,Cash,Movie night
2023-12-23,111.61,Transport,Dedit card,May ahead cup visit space.
2024-02-01,34.41,Entertainment,Cash,Expect court staff different.
2023-12-07,51.96,Groceries,Credit card,Fruits and vegetables
2024-01-12,198.90,Utilities,Bank transfer,Pass cup get company.
2024-01-10,81.46,Health care,Credit card,Pharmacy visit
2023-12-24,26.03,Entertainment,Cash,Movie night
2024-01-07,209.95,Utilities,Bank transfer,Electricity bill
2024-01-10,40.66,Groceries,Credit card,Fruits and vegetables
2023-12-13,209.37,Utilities,Bank transfer,Tend learn popular business model.
2023-12-19,71.60,Health care,Credit card,Pharmacy visit
2023-12-19,110.09,Transport,Dedit card,While establish successful kid.
2023-12-24,42.44,Groceries,Credit card,Life these case.
2023-12-11,41.34,Groceries,Credit card,Yard board fund term board surface.
2024-01-07,72.47,Health care,Credit card,Pharmacy visit
2024-01-23,124.45,Transport,Dedit card,Monthly bus pass
2023-12-23,79.52,Health care,Credit card,Country capital rest these southern.
2023-12-30,191.36,Utilities,Bank transfer,Modern visit science you.
2023-12-28,70.87,Health care,Credit card,Pharmacy visit
2024-01-05,69.59,Health care,Credit card,Pharmacy visit
2023-12-18,190.73,Utilities,Bank transfer,Good daughter indeed establish bad audience.
2023-12-14,79.95,Health care,Credit card,Everything give security office fast.
2023-12-11,80.66,Health care,Credit card,Pharmacy visit
2023-12-28,190.81,Utilities,Bank transfer,Electricity bill
2024-02-01,23.65,Entertainment,Cash,Million step whose bring accept soldier.
2023-12-13,57.10,Groceries,Credit card,Fruits and vegetables
2024-01-16,55.80,Groceries,Credit card,Fruits and vegetables
2024-01-03,209.25,Utilities,Bank transfer,Electricity bill
2024-01-02,72.84,Health care,Credit card,Friend in wife.
2023-12-05,193.29,Utilities,Bank transfer,Electricity bill
2024-01-10,201.01,Utilities,Bank transfer,Benefit often product skin.
2023-12-28,69.25,Health care,Credit card,Product young policy wide.
2023-12-18,209.88,Utilities,Bank transfer,Electricity bill
2024-01-21,56.68,Groceries,Credit card,Early who tell them west authority.
2024-01-16,25.52,Entertainment,Cash,Movie night
2024-01-18,114.77,Transport,Dedit card,Work community who.
2023-12-13,37.99,Entertainment,Cash,Teacher claim responsibility before stop head.
2024-01-12,84.25,Health care,Credit card,One child detail.
2024-01-10,82.77,Health care,Credit card,Pharmacy visit
2024-01-29,71.43,Health care,Credit card,Pharmacy visit
2023-12-18,208.88,Utilities,Bank transfer,Electricity bill
2024-01-20,22.48,Entertainment,Cash,Institution want recently read.
2023-12-09,206.75,Utilities,Bank transfer,Electricity bill
2023-12-22,76.30,Health care,Credit card,Myself run Democrat serve less according.
2023-12-18,58.42,Groceries,Credit card,Exactly number budget heavy understand say.
2024-01-24,197.32,Utilities,Bank transfer,Electricity bill
2024-01-07,202.06,Utilities,Bank transfer,Positive president heart certainly.
2023-12-19,126.00,Transport,Dedit card,Piece institution owner successful court daughter.
2023-12-27,128.90,Transport,Dedit card,Monthly bus pass
2024-01-31,43.84,Groceries,Credit card,Fruits and vegetables
2023-12-17,41.86,Groceries,Credit card,Fruits and vegetables
2023-12-20,204.21,Utilities,Bank transfer,Product must bag board.
2024-01-12,191.23,Utilities,Bank transfer,Reason city product.
2024-01-11,195.96,Utilities,Bank transfer,Suffer car old information grow.
2023-12-16,57.19,Groceries,Credit card,Fruits and vegetables
2023-12-27,44.62,Groceries,Credit card,Fruits and vegetables
2023-12-27,70.56,Health care,Credit card,Pharmacy visit
2023-12-05,40.18,Groceries,Credit card,Fruits and vegetables
2023-12-26,23.47,Entertainment,Cash,Couple federal official standard rich.
2023-12-14,205.68,Utilities,Bank transfer,Change current detail.
2024-01-18,128.72,Transport,Dedit card,Page across day deal medical yeah.
2024-01-22,46.36,Groceries,Credit card,Range coach memory wide hit.
2023-12-16,48.59,Groceries,Credit card,Fruits and vegetables
2024-01-04,52.71,Groceries,Credit card,Wife investment trip.
2024-01-07,34.58,Entertainment,Cash,Movie night
2024-01-27,52.79,Groceries,Credit card,Fruits and vegetables
2024-01-13,69.65,Health care,Credit card,Likely relationship central political west suggest.
2023-12-28,83.34,Health care,Credit card,Whatever daughter show assume conference.
2023-12-23,51.02,Groceries,Credit card,Skill remember book public.
2023-12-26,30.82,Entertainment,Cash,Movie night
2023-12-16,44.77,Groceries,Credit card,Rich first summer.
2024-01-24,128.85,Transport,Dedit card,Unit who home film parent realize.
2024-01-22,193.10,Utilities,Bank transfer,Electricity bill
2023-12-10,40.40,Groceries,Credit card,Space cultural discussion administration three.
2024-01-30,44.79,Groceries,Credit card,Individual stuff suffer.
2024-01-14,115.19,Transport,Dedit card,Family for dark class no huge.
2024-01-08,68.97,Health care,Credit card,Point nearly chair low fill.
2024-01-23,30.57,Entertainment,Cash,Movie night
2023-12-13,70.75,Health care,Credit card,Pharmacy visit
2023-12-30,117.89,Transport,Dedit card,Week specific these home.
2024-02-01,194.89,Utilities,Bank transfer,Economic within day discuss generation.
2024-01-27,197.07,Utilities,Bank transfer,Food house morning others cover fund.
2023-12-26,39.28,Entertainment,Cash,Movie night
2023-12-20,53.57,Groceries,Credit card,Tell young star item.
2023-12-21,193.31,Utilities,Bank transfer,Tv indeed prevent theory easy pull.
2024-01-29,54.80,Groceries,Credit card,It open center final management.
2023-12-23,83.21,Health care,Credit card,Pharmacy visit
2024-01-15,112.64,Transport,Dedit card,This floor coach force or.
2023-12-08,71.12,Health care,Credit card,Pharmacy visit
2024-01-29,42.37,Groceries,Credit card,One adult of body measure.
2024-01-09,127.65,Transport,Dedit card,Role suggest wait age.
2024-01-22,112.98,Transport,Dedit card,Monthly bus pass
2023-12-06,78.08,Health care,Credit card,Only management region.
2023-12-10,73.41,Health care,Credit card,Pharmacy visit
2023-12-26,114.91,Transport,Dedit card,Appear piece level popular choice.
2024-01-22,20.62,Entertainment,Cash,Movie night
2024-01-21,43.75,Groceries,Credit card,Rule career general cultural school newspaper.
2024-01-21,47.21,Groceries,Credit card,Fruits and vegetables
2023-12-30,199.13,Utilities,Bank transfer,Electricity bill
2023-12-06,190.88,Utilities,Bank transfer,Change address relate player.
2023-12-13,67.77,Health care,Credit card,Tell your Republican.
2023-12-19,118.60,Transport,Dedit card,Who company early up and.
2024-01-11,73.51,Health care,Credit card,Follow wall huge within finally.
2024-01-06,202.34,Utilities,Bank transfer,Meeting deal customer.
2024-01-05,47.52,Groceries,Credit card,Stay person law move serve.
2024-01-23,28.44,Entertainment,Cash,Movie night
2024-01-28,21.29,Entertainment,Cash,Movie night
2024-01-15,23.61,Entertainment,Cash,Central each information along woman staff.
2024-01-06,69.24,Health care,Credit card,Natural site on plant spend beat.
2024-01-31,45.70,Groceries,Credit card,Decide poor example.
2023-12-13,199.44,Utilities,Bank transfer,Candidate film describe them.
2023-12-16,119.61,Transport,Dedit card,Monthly bus pass
2023-12-28,199.39,Utilities,Bank transfer,Just though security get.
2023-12-22,74.25,Health care,Credit card,Ask like follow method.
2023-12-09,78.17,Health care,Credit card,Senior project teach think air.
2023-12-11,46.82,Groceries,Credit card,Fruits and vegetables
2024-02-02,76.94,Health care,Credit card,Door wish appear old person.
2023-12-06,79.38,Health care,Credit card,Interview leader contain choose court.
2023-12-28,195.03,Utilities,Bank transfer,Electricity bill
2024-01-08,73.38,Health care,Credit card,Form system might American collection.
2023-12-27,126.37,Transport,Dedit card,Describe land catch push voice blood.
2023-12-22,110.17,Transport,Dedit card,Monthly bus pass
2023-12-11,74.98,Health care,Credit card,Pharmacy visit
2024-01-05,59.66,Groceries,Credit card,Fruits and vegetables
2024-01-05,206.39,Utilities,Bank transfer,Electricity bill
2023-12-14,201.66,Utilities,Bank transfer,True fear specific.
2024-01-10,54.56,Groceries,Credit card,Fruits and vegetables
2023-12-28,33.07,Entertainment,Cash,Movie night
2024-01-30,46.97,Groceries,Credit card,Fruits and vegetables
2024-01-15,76.08,Health care,Credit card,Story list consumer color for.
2024-01-07,50.92,Groceries,Credit card,Fruits and vegetables
2023-12-31,28.09,Entertainment,Cash,Movie night
2023-12-25,125.28,Transport,Dedit card,Star eye recent.
2024-01-20,78.63,Health care,Credit card,Often partner figure.
2023-12-16,125.55,Transport,Dedit card,Base that none everybody.
2023-12-26,45.82,Groceries,Credit card,Effort director staff free.
2024-01-15,84.58,Health care,Credit card,Pharmacy visit
2024-01-12,205.14,Utilities,Bank transfer,Condition political this protect.
2023-12-07,121.38,Transport,Dedit card,Monthly bus pass
2024-01-02,80.94,Health care,Credit card,Pharmacy visit
2024-01-23,27.31,Entertainment,Cash,Movie night
2024-01-22,121.83,Transport,Dedit card,Recent teach benefit draw wall feeling.
2024-01-01,207.41,Utilities,Bank transfer,Method once garden court.
2023-12-21,42.31,Groceries,Credit card,Among development style.
2024-01-03,45.47,Groceries,Credit card,Style head kind report hot.
2024-01-01,197.71,Utilities,Bank transfer,Electricity bill
2024-01-15,113.94,Transport,Dedit card,Particularly fast general.
2024-01-06,57.96,Groceries,Credit card,Family account reality building build discussion.
2023-12-23,111.29,Transport,Dedit card,Monthly bus pass
2023-12-18,201.27,Utilities,Bank transfer,Agent political wife.
2023-12-28,68.94,Health care,Credit card,Involve maintain them a rock Mr.
2024-01-23,113.16,Transport,Dedit card,Show think everything make hot.
2024-01-13,191.79,Utilities,Bank transfer,Electricity bill
2024-01-09,202.22,Utilities,Bank transfer,Race herself war behavior.
2024-01-20,27.52,Entertainment,Cash,Movie night
2023-12-23,28.39,Entertainment,Cash,Firm action view each middle.
2024-01-27,45.07,Groceries,Credit card,Population military inside product he all.
2024-01-31,197.50,Utilities,Bank transfer,Electricity bill
2023-12-20,208.97,Utilities,Bank transfer,Electricity bill
2024-01-19,120.50,Transport,Dedit card,Want agency box official city kitchen.
2024-02-02,80.12,Health care,Credit card,Pharmacy visit
2024-01-29,80.26,Health care,Credit card,Administration together computer.
2024-01-11,119.36,Transport,Dedit card,Make where investment.
2023-12-21,120.85,Transport,Dedit card,Monthly bus pass
2024-01-28,24.17,Entertainment,Cash,Movie night
2024-01-08,117.49,Transport,Dedit card,Monthly bus pass
2023-12-18,45.00,Groceries,Credit card,Fruits and vegetables
2024-01-02,41.79,Groceries,Credit card,Decide watch important wife tell group.
2023-12-26,74.07,Health care,Credit card,Whether ability education whole race piece.
2024-01-29,193.26,Utilities,Bank transfer,Electricity bill
2024-01-28,116.36,Transport,Dedit card,Boy wind me magazine forward size.
2023-12-06,36.73,Entertainment,Cash,Resource financial want.
2024-01-19,44.08,Groceries,Credit card,Eight produce than himself.
2024-01-25,75.89,Health care,Credit card,Pharmacy visit
2023-12-26,69.40,Health care,Credit card,Pharmacy visit
2023-12-23,206.88,Utilities,Bank transfer,Electricity bill
2024-01-24,26.18,Entertainment,Cash,Movie night
2024-02-03,67.57,Health care,Credit card,Pharmacy visit
2023-12-11,112.52,Transport,Dedit card,Monthly bus pass
2023-12-17,38.05,Entertainment,Cash,Serve kind organization.
2023-12-05,47.91,Groceries,Credit card,Record field move sense option.
2023-12-16,197.66,Utilities,Bank transfer,Electricity bill
2024-01-07,40.61,Groceries,Credit card,Task moment shake yourself national.
2023-12-13,115.43,Transport,Dedit card,Soon follow across enough ask themselves.
2023-12-23,54.09,Groceries,Credit card,Project send mind.
2024-01-27,129.26,Transport,Dedit card,Local our debate drop.
2023-12-18,122.46,Transport,Dedit card,Recently their parent they.
2024-01-28,205.78,Utilities,Bank transfer,Electricity bill
2024-01-22,73.90,Health care,Credit card,Television first land.
2024-01-27,124.90,Transport,Dedit card,Monthly bus pass
2024-01-16,24.73,Entertainment,Cash,Movie night
2023-12-25,39.93,Entertainment,Cash,Arrive blood best father shoulder.
2023-12-13,208.97,Utilities,Bank transfer,Electricity bill
2023-12-12,51.11,Groceries,Credit card,Fruits and vegetables
2024-01-21,204.18,Utilities,Bank transfer,So interest learn exist.
2024-01-17,35.70,Entertainment,Cash,Movie night
2023-12-30,39.36,Entertainment,Cash,Bad no member father crime politics.
2023-12-20,32.84,Entertainment,Cash,Community edge risk fish run then.
2023-12-09,76.15,Health care,Credit card,So since possible son structure break.
2023-12-15,47.22,Groceries,Credit card,Rock ok worry whole answer.
2024-01-07,40.08,Groceries,Credit card,Admit attorney back oil.
2023-12-12,114.12,Transport,Dedit card,Monthly bus pass
2024-01-09,197.70,Utilities,Bank transfer,Big or garden trial personal thousand.
2023-12-08,31.63,Entertainment,Cash,Movie night
2023-12-23,121.08,Transport,Dedit card,Pass term child report give serious.
2023-12-14,79.85,Health care,Credit card,Pharmacy visit
2023-12-17,192.32,Utilities,Bank transfer,Electricity bill
2024-01-30,73.74,Health care,Credit card,Off into ever still keep politics around.
2024-01-11,202.75,Utilities,Bank transfer,Shoulder third now area season always.
2024-01-18,39.04,Entertainment,Cash,Movie night
2023-12-13,54.47,Groceries,Credit card,Fruits and vegetables
2023-12-22,204.81,Utilities,Bank transfer,Anyone industry friend.
2024-01-17,32.36,Entertainment,Cash,Movie night
2024-01-10,196.94,Utilities,Bank transfer,Almost study within.
2024-01-01,110.38,Transport,Dedit card,Monthly bus pass
2023-12-09,113.36,Transport,Dedit card,Power important each.
2024-01-30,36.94,Entertainment,Cash,Decision book whole weight field.
2024-01-22,39.91,Entertainment,Cash,Realize fill each realize wall.
2024-01-30,54.61,Groceries,Credit card,Fruits and vegetables
2023-12-05,110.58,Transport,Dedit card,Actually grow she.
2024-01-14,118.98,Transport,Dedit card,Entire reach measure reality.
2024-01-25,125.98,Transport,Dedit card,Evidence success piece.
2023-12-26,37.56,Entertainment,Cash,One since him so.
2023-12-08,39.83,Entertainment,Cash,Sister race health.
2024-01-27,35.08,Entertainment,Cash,Find move ball dog.
2024-01-31,192.46,Utilities,Bank transfer,Electricity bill
2023-12-20,47.03,Groceries,Credit card,This purpose information interest his interview.
2024-01-30,66.56,Health care,Credit card,Three southern within our.
2024-01-14,38.89,Entertainment,Cash,Movie night
2024-01-30,206.10,Utilities,Bank transfer,Electricity bill
2023-12-08,200.78,Utilities,Bank transfer,Lay seat together American ask yeah.
2024-01-02,55.24,Groceries,Credit card,Strategy west particularly understand around.
2024-01-02,193.19,Utilities,Bank transfer,Electricity bill
2023-12-06,69.20,Health care,Credit card,Bit onto trade notice politics.
2023-12-06,78.17,Health care,Credit card,Change during price.
2023-12-14,111.64,Transport,Dedit card,Soldier cause view of director exactly.
2024-01-05,37.77,Entertainment,Cash,Tell issue site.
2023-12-26,66.22,Health care,Credit card,Nearly reveal third perhaps.
2024-01-27,122.06,Transport,Dedit card,Monthly bus pass
2023-12-14,36.91,Entertainment,Cash,Already wide voice.
2024-01-17,74.02,Health care,Credit card,Car let fast.
2024-01-18,81.97,Health care,Credit card,Guess note ball simply.
2024-01-19,44.84,Groceries,Credit card,Fruits and vegetables
2023-12-11,76.51,Health care,Credit card,Also majority design first father.
2023-12-24,122.98,Transport,Dedit card,Monthly bus pass
2024-01-10,198.04,Utilities,Bank transfer,Electricity bill
2023-12-16,115.79,Transport,Dedit card,Think figure party really stay glass big.
2023-12-15,110.14,Transport,Dedit card,Education sense sister learn any lot.
2023-12-29,44.59,Groceries,Credit card,Fruits and vegetables
2024-01-30,39.61,Entertainment,Cash,Information simple defense seem tough heavy.
2024-01-11,32.92,Entertainment,Cash,Movie night
2024-01-28,111.83,Transport,Dedit card,Stand individual factor stop focus listen.
2023-12-20,206.91,Utilities,Bank transfer,Weight now culture itself result grow.
2024-01-13,67.05,Health care,Credit card,Pharmacy visit
2023-12-15,73.97,Health care,Credit card,Establish center alone it.
2024-01-28,205.93,Utilities,Bank transfer,Mention nation grow movement country government.
2023-12-17,123.68,Transport,Dedit card,Little point almost around.
2024-01-24,126.14,Transport,Dedit card,Monthly bus pass
2024-01-14,21.81,Entertainment,Cash,Seek dream hold smile every pressure.
2024-01-10,192.31,Utilities,Bank transfer,Hold institution matter large natural father.
2024-01-17,44.46,Groceries,Credit card,Toward radio send.
2024-01-05,40.96,Groceries,Credit card,Fruits and vegetables
2024-01-11,58.45,Groceries,Credit card,Fruits and vegetables
2023-12-19,197.66,Utilities,Bank transfer,Electricity bill
2023-12-11,83.42,Health care,Credit card,Pharmacy visit
2023-12-27,111.72,Transport,Dedit card,Monthly bus pass
2023-12-06,53.78,Groceries,Credit card,Fruits and vegetables
2024-01-14,68.66,Health care,Credit card,Film democratic your.
2024-01-25,122.81,Transport,Dedit card,Might deal technology bring.
2024-01-02,29.59,Entertainment,Cash,Ten bed I technology group rest.
2024-01-12,76.51,Health care,Credit card,Police analysis yet.
2024-01-23,51.94,Groceries,Credit card,Soon ability concern.
2023-12-07,43.98,Groceries,Credit card,Fruits and vegetables
2024-01-10,54.17,Groceries,Credit card,Fruits and vegetables
2023-12-05,43.48,Groceries,Credit card,Fruits and vegetables
2023-12-10,209.25,Utilities,Bank transfer,Electricity bill
2024-01-31,51.02,Groceries,Credit card,Fruits and vegetables
2024-01-27,116.65,Transport,Dedit card,Former involve tax through including.
2023-12-05,128.66,Transport,Dedit card,Monthly bus pass
2023-12-08,205.77,Utilities,Bank transfer,Electricity bill
2023-12-25,44.63,Groceries,Credit card,Mind way decide Mr.
2023-12-18,44.03,Groceries,Credit card,After direction really.
2024-01-19,39.18,Entertainment,Cash,Movie night
2024-01-28,31.32,Entertainment,Cash,Baby maintain especially.
2024-01-12,80.04,Health care,Credit card,Seven social wide clear concern skill.
2023-12-24,204.38,Utilities,Bank transfer,Interest ago job ready prove improve.
2024-01-25,25.81,Entertainment,Cash,Movie night
2023-12-16,198.09,Utilities,Bank transfer,Electricity bill
2023-12-09,36.88,Entertainment,Cash,Movie night
2024-01-08,203.72,Utilities,Bank transfer,Receive short which seek condition.
2023-12-23,205.71,Utilities,Bank transfer,Electricity bill
2024-01-20,209.00,Utilities,Bank transfer,Electricity bill
2024-01-16,83.89,Health care,Credit card,No entire return country but.
2023-12-21,48.44,Groceries,Credit card,Fruits and vegetables
2023-12-15,34.77,Entertainment,Cash,Per pretty produce room nothing maintain.
2024-01-03,68.06,Health care,Credit card,Plan often official wall alone.
2023-12-31,207.70,Utilities,Bank transfer,Benefit serious without miss.
2023-12-13,197.20,Utilities,Bank transfer,Sea perform range perform official form.
2023-12-18,22.45,Entertainment,Cash,Movie night
2024-02-01,197.86,Utilities,Bank transfer,Electricity bill
2024-01-25,76.18,Health care,Credit card,Century admit reality because become.
2024-01-21,22.66,Entertainment,Cash,Piece collection agency until movie project.
2024-01-04,40.27,Groceries,Credit card,Fruits and vegetables
2024-01-30,122.54,Transport,Dedit card,Benefit since mouth return individual knowledge.
2023-12-12,67.55,Health care,Credit card,Pharmacy visit
2023-12-23,72.56,Health care,Credit card,Pharmacy visit
2024-01-05,27.92,Entertainment,Cash,Team write use anything.
2024-01-08,111.26,Transport,Dedit card,Monthly bus pass
2024-01-18,24.51,Entertainment,Cash,Cut ago thought.
2024-01-05,45.83,Groceries,Credit card,Treat responsibility beat.
2024-01-16,121.70,Transport,Dedit card,Monthly bus pass
2023-12-22,48.13,Groceries,Credit card,Fruits and vegetables
2024-01-24,121.80,Transport,Dedit card,Monthly bus pass
2023-12-11,206.37,Utilities,Bank transfer,Live above music and somebody situation.
2023-12-26,74.73,Health care,Credit card,Kid fund energy maybe especially.
2023-12-07,65.10,Health care,Credit card,Against charge director add add.
2024-01-05,54.87,Groceries,Credit card,I add guy large.
2023-12-19,202.46,Utilities,Bank transfer,Argue understand chair.
2023-12-25,45.87,Groceries,Credit card,Quickly her continue.
2023-12-14,83.68,Health care,Credit card,Stock scientist Congress director.
2024-02-04,73.18,Health care,Credit card,Develop expect require son toward phone.
2024-01-10,56.67,Groceries,Credit card,Fruits and vegetables
2024-01-18,56.44,Groceries,Credit card,Moment simple wear.
2023-12-11,121.90,Transport,Dedit card,Monthly bus pass
2024-01-03,70.87,Health care,Credit card,Item range low opportunity start.
2024-01-30,51.25,Groceries,Credit card,Fruits and vegetables
2024-02-01,197.25,Utilities,Bank transfer,Electricity bill
2023-12-21,195.56,Utilities,Bank transfer,Leg certainly book.
2024-01-08,191.37,Utilities,Bank transfer,Knowledge month want instead.
2024-01-10,125.45,Transport,Dedit card,Five hard easy about appear edge.
2023-12-04,128.07,Transport,Dedit card,Monthly bus pass
2024-01-09,123.14,Transport,Dedit card,Monthly bus pass
2024-01-30,191.90,Utilities,Bank transfer,Evening dog market people politics surface.
2023-12-31,67.89,Health care,Credit card,Style sit fund key difficult surface anyone.
2023-12-31,195.50,Utilities,Bank transfer,Network low kitchen return media surface.
2023-12-15,40.28,Groceries,Credit card,Arrive remain bar address yeah event.
2024-01-24,190.39,Utilities,Bank transfer,Especially address traditional may.
2023-12-19,42.75,Groceries,Credit card,Operation international level.
2023-12-29,68.08,Health care,Credit card,Pharmacy visit
2023-12-29,32.97,Entertainment,Cash,Garden board type plan.
2023-12-13,52.58,Groceries,Credit card,Fruits and vegetables
2023-12-05,42.85,Groceries,Credit card,Fruits and vegetables
